Layoff_ID,Month,Date,Company,Sector,Sub_Sector,Layoff_Count,Location,Country,Reason,Salary_Range_Affected,Seniority_Affected,Rehiring_Possible,Announcement_Type,CEO_Name
L001,January,2025/01/04,Google,IT,AI,450,California,USA,Restructuring,120000-250000,Senior,No,Public,Sundar Pichai
L002,January,2025/01/18,Amazon,Retail,E-commerce,300,Seattle,USA,Cost Cutting,40000-80000,"Entry, Mid",Yes,Internal,Andy Jassy
L003,February,2025/02/02,Meta,IT,Social Media,600,California,USA,AI Automation,90000-200000,"Mid, Senior",No,Public,Mark Zuckerberg
L004,February,2025/02/14,BYJU'S,Education,EdTech,800,Bengaluru,India,Revenue Loss,25000-60000,Entry,Yes,Public,Byju Raveendran
L005,March,2025/03/05,Swiggy,Food,Delivery,200,Hyderabad,India,Business Realignment,20000-50000,"Entry, Mid",Yes,Internal,Sriharsha Majety
L006,March,2025/03/21,IBM,IT,Cloud,150,New York,USA,Shift to Automation,60000-120000,Mid,No,Public,Arvind Krishna
L007,April,2025/04/03,Ola,Transport,Mobility,300,Bengaluru,India,Financial Loss,30000-70000,Entry,Yes,Public,Bhavish Aggarwal
L008,April,2025/04/17,TCS,IT,Services,120,Mumbai,India,Cost Optimization,400000-900000,Mid,No,Internal,K. Krithivasan
L009,May,2025/05/01,Uber,Transport,Ride Sharing,250,California,USA,Workforce Reduction,50000-100000,"Entry, Mid",Yes,Public,Dara Khosrowshahi
L010,May,2025/05/22,Twitter (X),IT,Social Media,400,Texas,USA,Business Restructure,45000-120000,Mid,No,Public,Elon Musk
L011,June,2025/06/04,Wipro,IT,Consulting,220,Bengaluru,India,Low Demand,300000-600000,Entry,Yes,Internal,Thierry Delaporte
L012,June,2025/06/26,Disney,Media,Entertainment,500,Florida,USA,Streaming Loss,50000-150000,Mid,No,Public,Bob Iger
L013,July,2025/07/07,Paytm,Banking,FinTech,180,Noida,India,RBI Restrictions,30000-90000,"Entry, Mid",No,Public,Vijay Shekhar Sharma
L014,July,2025/07/25,Nokia,Telecom,Networking,350,Helsinki,Finland,Declining Sales,70000-120000,"Mid, Senior",No,Public,Pekka Lundmark
L015,August,2025/08/05,Zomato,Food,Delivery,150,Gurugram,India,Cost Control,20000-60000,Entry,Yes,Internal,Deepinder Goyal
L016,August,2025/08/19,Flipkart,Retail,E-commerce,180,Bengaluru,India,Department Closure,30000-70000,"Entry, Mid",No,Public,Kalyan Krishnamurthy
L017,September,2025/09/03,Salesforce,IT,CRM,290,California,USA,Restructuring,90000-180000,"Mid, Senior",No,Public,Marc Benioff
L018,September,2025/09/17,Tech Mahindra,IT,Services,140,Pune,India,Automation Expansion,250000-700000,Entry,Yes,Internal,Mohit Joshi
L019,October,2025/10/02,Spotify,Media,Streaming,200,Stockholm,Sweden,Cost Reduction,60000-120000,Mid,No,Public,Daniel Ek
L020,October,2025/10/20,Intel,Hardware,Semiconductors,500,Oregon,USA,Chip Revenue Fall,90000-160000,Senior,No,Public,Pat Gelsinger
L021,November,2025/11/05,HP,IT,Hardware,230,Houston,USA,Declining PC Sales,70000-100000,Mid,No,Public,Enrique Lores
L022,November,2025/11/16,Infosys,IT,Software,170,Bengaluru,India,Project Loss,350000-800000,Entry,Yes,Internal,Rohan Kumar
L023,December,2025/12/04,Netflix,Media,Streaming,320,California,USA,Content Budget Cuts,70000-150000,"Mid, Senior",No,Public,Ted Sarandos
L024,December,2025/12/18,Adobe,IT,Software,140,California,USA,AI Automation,90000-200000,Senior,No,Public,Shantanu Narayen
L025,December,2025/12/27,Cognizant,IT,Services,210,Chennai,India,Client Exit,300000-700000,"Entry, Mid",Yes,Public,Ravi Kumar
